 Long   Lat    Vpn    Ani    Direc  
 45.25  21.25  8.148  0.043   24.9
 45.75  21.25  8.167  0.057   27.1
 46.25  21.25  8.176  0.063   28.6
 46.75  21.25  8.173  0.058   29.5
 47.25  21.25  8.160  0.044   30.1
 47.75  21.25  8.140  0.029   29.9
 52.75  21.25  8.130  0.042   13.5
 53.25  21.25  8.160  0.065   14.5
 53.75  21.25  8.179  0.082   15.3
 54.25  21.25  8.198  0.083   17.9
 54.75  21.25  8.215  0.074   23.0
 55.25  21.25  8.225  0.055   31.1
 55.75  21.25  8.193  0.041   25.9
 56.25  21.25  8.149  0.030    9.0
 56.75  21.25  8.108  0.029  169.4
 57.25  21.25  8.077  0.030  156.5
 57.75  21.25  8.058  0.027  145.3
 58.25  21.25  8.052  0.024  134.1
 58.75  21.25  8.057  0.018  121.3
 59.25  21.25  8.072  0.012  108.5
 65.25  21.25  8.108  0.010  163.1
 65.75  21.25  8.113  0.016  164.7
 66.25  21.25  8.117  0.018  164.7
 66.75  21.25  8.119  0.017  164.0
 67.25  21.25  8.119  0.016  161.3
 67.75  21.25  8.117  0.015  159.6
 68.25  21.25  8.115  0.019  163.5
 68.75  21.25  8.113  0.032  173.1
 69.25  21.25  8.107  0.056    0.5
 69.75  21.25  8.093  0.094    5.9
 70.25  21.25  8.072  0.143    9.6
 70.75  21.25  8.045  0.196   12.9
 71.25  21.25  8.007  0.237   16.0
 71.75  21.25  7.988  0.232   18.9
 72.25  21.25  7.973  0.193   23.8
 72.75  21.25  7.956  0.154   34.2
 73.25  21.25  7.938  0.142   47.5
 73.75  21.25  7.938  0.147   59.6
 74.25  21.25  7.946  0.159   67.7
 74.75  21.25  7.958  0.144   71.9
 75.25  21.25  7.984  0.110   75.4
 75.75  21.25  8.012  0.047   81.5
 76.25  21.25  8.041  0.031  157.8
 76.75  21.25  8.079  0.092  165.9
 77.25  21.25  8.115  0.134  168.9
 77.75  21.25  8.148  0.145  172.9
 78.25  21.25  8.166  0.145  178.5
 78.75  21.25  8.170  0.145    5.9
 79.25  21.25  8.156  0.152   12.2
 79.75  21.25  8.141  0.158   17.9
 80.25  21.25  8.122  0.159   22.4
 80.75  21.25  8.109  0.147   26.9
 81.25  21.25  8.107  0.120   33.2
 81.75  21.25  8.116  0.081   45.9
 82.25  21.25  8.129  0.069   71.7
 82.75  21.25  8.142  0.096   89.0
 83.25  21.25  8.143  0.111   96.3
 83.75  21.25  8.133  0.096  101.8
 84.25  21.25  8.123  0.062  110.1
 84.75  21.25  8.115  0.034  134.2
 85.25  21.25  8.122  0.036  153.7
 85.75  21.25  8.146  0.025  149.3
 86.25  21.25  8.152  0.011  133.9
 86.75  21.25  8.149  0.022   80.1
 87.25  21.25  8.144  0.060   73.6
 87.75  21.25  8.140  0.101   72.9
 88.25  21.25  8.130  0.128   73.1
 88.75  21.25  8.118  0.133   73.2
 89.25  21.25  8.108  0.111   72.7
 89.75  21.25  8.105  0.068   70.1
 90.25  21.25  8.106  0.018   37.5
 90.75  21.25  8.113  0.076  174.9
 91.25  21.25  8.114  0.146  173.1
 91.75  21.25  8.109  0.183  173.7
 92.25  21.25  8.103  0.168  174.8
 92.75  21.25  8.069  0.116  179.5
 93.25  21.25  8.001  0.067   20.0
 93.75  21.25  7.928  0.089   50.9
 94.25  21.25  7.864  0.128   60.5
 94.75  21.25  7.832  0.124   66.7
 95.25  21.25  7.836  0.062   81.7
 95.75  21.25  7.859  0.083  135.3
 96.25  21.25  7.895  0.200  144.4
 96.75  21.25  7.923  0.303  146.8
 97.25  21.25  7.930  0.367  148.3
 97.75  21.25  7.897  0.373  150.9
 98.25  21.25  7.837  0.320  155.0
 98.75  21.25  7.809  0.223  158.9
 99.25  21.25  7.808  0.140  165.9
 99.75  21.25  7.803  0.149  171.8
100.25  21.25  7.846  0.174  172.8
100.75  21.25  7.910  0.193  178.0
101.25  21.25  7.991  0.194    5.0
101.75  21.25  8.051  0.196   10.5
102.25  21.25  8.088  0.186   15.2
102.75  21.25  8.084  0.172   16.3
103.25  21.25  8.078  0.136   11.7
103.75  21.25  8.074  0.100  178.4
104.25  21.25  8.063  0.103  163.6
104.75  21.25  8.039  0.119  159.2
105.25  21.25  7.991  0.121  163.1
105.75  21.25  7.960  0.108  165.8
106.25  21.25  7.955  0.084  166.0
106.75  21.25  7.988  0.057  153.7
107.25  21.25  8.058  0.073  133.5
107.75  21.25  8.142  0.111  126.6
108.25  21.25  8.205  0.131  124.2
108.75  21.25  8.223  0.124  123.1
109.25  21.25  8.202  0.099  123.6
109.75  21.25  8.156  0.060  124.9
 37.75  21.75  8.099  0.004  157.4
 38.25  21.75  8.096  0.010  164.8
 38.75  21.75  8.090  0.017  170.8
 39.25  21.75  8.081  0.025  176.6
 39.75  21.75  8.081  0.022  179.6
 42.25  21.75  8.100  0.001   21.7
 42.75  21.75  8.100  0.001   17.8
 44.25  21.75  8.115  0.015   24.7
 44.75  21.75  8.133  0.029   26.1
 45.25  21.75  8.153  0.044   26.2
 45.75  21.75  8.176  0.060   27.4
 46.25  21.75  8.195  0.073   29.4
 46.75  21.75  8.208  0.079   31.0
 47.25  21.75  8.206  0.074   31.6
 47.75  21.75  8.191  0.061   30.4
 48.25  21.75  8.165  0.043   28.8
 48.75  21.75  8.143  0.028   27.5
 52.25  21.75  8.114  0.018    3.4
 52.75  21.75  8.138  0.043    6.8
 53.25  21.75  8.164  0.058    9.0
 53.75  21.75  8.180  0.069   11.0
 54.25  21.75  8.193  0.069   13.6
 54.75  21.75  8.209  0.054   20.6
 55.25  21.75  8.218  0.036   36.4
 55.75  21.75  8.189  0.020   38.5
 56.25  21.75  8.144  0.008  168.4
 56.75  21.75  8.096  0.026  147.0
 57.25  21.75  8.057  0.037  142.5
 57.75  21.75  8.033  0.037  136.7
 58.25  21.75  8.025  0.033  126.6
 58.75  21.75  8.027  0.027  112.0
 59.25  21.75  8.046  0.023   97.7
 60.25  21.75  8.049  0.046   85.1
 60.75  21.75  8.030  0.066   85.5
 61.25  21.75  8.023  0.075   86.5
 61.75  21.75  8.024  0.076   87.8
 62.25  21.75  8.031  0.071   89.3
 62.75  21.75  8.042  0.061   90.7
 63.25  21.75  8.056  0.047   92.3
 63.75  21.75  8.071  0.031   95.5
 64.25  21.75  8.084  0.016  103.1
 64.75  21.75  8.098  0.009  134.1
 65.25  21.75  8.111  0.016  161.0
 65.75  21.75  8.120  0.024  165.9
 66.25  21.75  8.124  0.025  167.1
 66.75  21.75  8.124  0.022  165.8
 67.25  21.75  8.124  0.017  161.0
 67.75  21.75  8.121  0.014  154.1
 68.25  21.75  8.118  0.017  153.8
 68.75  21.75  8.116  0.028  163.0
 69.25  21.75  8.110  0.049  172.7
 69.75  21.75  8.098  0.086  179.3
 70.25  21.75  8.076  0.138    4.2
 70.75  21.75  8.036  0.199    9.3
 71.25  21.75  8.000  0.240   13.6
 71.75  21.75  7.984  0.227   17.2
 72.25  21.75  7.946  0.202   24.0
 72.75  21.75  7.927  0.160   33.9
 73.25  21.75  7.917  0.143   45.8
 73.75  21.75  7.928  0.143   57.4
 74.25  21.75  7.951  0.145   65.6
 74.75  21.75  7.982  0.119   70.2
 75.25  21.75  8.025  0.069   75.4
 75.75  21.75  8.056  0.008  111.0
 76.25  21.75  8.076  0.071  164.0
 76.75  21.75  8.099  0.133  166.0
 77.25  21.75  8.123  0.171  168.0
 77.75  21.75  8.147  0.180  171.2
 78.25  21.75  8.162  0.173  175.7
 78.75  21.75  8.157  0.163    2.0
 79.25  21.75  8.137  0.166    8.9
 79.75  21.75  8.119  0.168   15.8
 80.25  21.75  8.107  0.163   22.0
 80.75  21.75  8.099  0.147   27.2
 81.25  21.75  8.108  0.116   34.9
 81.75  21.75  8.128  0.080   50.2
 82.25  21.75  8.146  0.078   76.4
 82.75  21.75  8.157  0.112   91.3
 83.25  21.75  8.153  0.127   96.8
 83.75  21.75  8.142  0.110  100.2
 84.25  21.75  8.136  0.071  104.2
 84.75  21.75  8.130  0.024  124.3
 85.25  21.75  8.141  0.020  161.2
 85.75  21.75  8.159  0.011  176.2
 86.25  21.75  8.165  0.014   53.5
 86.75  21.75  8.148  0.037   64.7
 87.25  21.75  8.126  0.070   68.5
 87.75  21.75  8.106  0.109   70.7
 88.25  21.75  8.084  0.136   71.7
 88.75  21.75  8.066  0.139   72.7
 89.25  21.75  8.059  0.117   73.3
 89.75  21.75  8.077  0.070   73.8
 90.25  21.75  8.108  0.008   45.6
 90.75  21.75  8.135  0.078  171.5
 91.25  21.75  8.151  0.154  170.4
 91.75  21.75  8.156  0.195  170.8
 92.25  21.75  8.153  0.178  171.9
 92.75  21.75  8.113  0.126  176.1
 93.25  21.75  8.038  0.068   10.7
 93.75  21.75  7.955  0.069   47.8
 94.25  21.75  7.883  0.113   61.9
 94.75  21.75  7.853  0.108   70.8
 95.25  21.75  7.850  0.059   88.4
 95.75  21.75  7.868  0.090  134.8
 96.25  21.75  7.909  0.208  143.9
 96.75  21.75  7.944  0.313  146.5
 97.25  21.75  7.944  0.370  149.0
 97.75  21.75  7.904  0.366  152.2
 98.25  21.75  7.826  0.312  158.1
 98.75  21.75  7.803  0.219  163.0
 99.25  21.75  7.815  0.149  168.8
 99.75  21.75  7.828  0.144  171.9
100.25  21.75  7.859  0.159  172.0
100.75  21.75  7.898  0.180  175.1
101.25  21.75  7.957  0.177    0.9
101.75  21.75  7.994  0.181    7.8
102.25  21.75  8.029  0.164   15.8
102.75  21.75  8.032  0.147   19.3
103.25  21.75  8.034  0.106   14.6
103.75  21.75  8.050  0.069  174.9
104.25  21.75  8.045  0.082  156.9
104.75  21.75  8.020  0.096  157.2
105.25  21.75  7.978  0.107  165.9
105.75  21.75  7.951  0.107  171.7
106.25  21.75  7.945  0.090  175.8
106.75  21.75  7.995  0.063  167.7
107.25  21.75  8.072  0.056  147.2
107.75  21.75  8.144  0.065  131.6
108.25  21.75  8.192  0.062  121.8
108.75  21.75  8.205  0.058  113.1
109.25  21.75  8.173  0.038  106.3
109.75  21.75  8.121  0.020   90.1
 37.75  22.25  8.098  0.006  160.6
 38.25  22.25  8.095  0.011  165.9
 38.75  22.25  8.090  0.017  169.8
 39.25  22.25  8.081  0.025  176.3
 39.75  22.25  8.082  0.021  179.5
 42.25  22.25  8.101  0.001   45.3
 42.75  22.25  8.101  0.001   59.6
 44.25  22.25  8.112  0.010   28.1
 44.75  22.25  8.129  0.023   28.4
 45.25  22.25  8.149  0.036   28.2
 45.75  22.25  8.173  0.053   29.0
 46.25  22.25  8.201  0.069   31.8
 46.75  22.25  8.225  0.080   33.8
 47.25  22.25  8.238  0.084   33.9
 47.75  22.25  8.232  0.079   31.4
 48.25  22.25  8.217  0.069   28.8
 48.75  22.25  8.198  0.055   25.6
 49.25  22.25  8.172  0.037   20.1
 49.75  22.25  8.155  0.027   11.8
 50.25  22.25  8.134  0.019    2.3
 52.25  22.25  8.121  0.026  174.6
 52.75  22.25  8.145  0.043  177.2
 53.25  22.25  8.164  0.053  179.8
 53.75  22.25  8.174  0.060    1.9
 54.25  22.25  8.181  0.054    3.5
 54.75  22.25  8.196  0.029   12.2
 55.25  22.25  8.206  0.019   61.5
 55.75  22.25  8.180  0.027   87.4
 56.25  22.25  8.130  0.033  111.2
