station,longitude (°),latitude (°),phi (°),dt (sec)
YB.D2,54.71,32.43,-21,1.3
YB.D3,54.09,32.41,-35,1.3
YB.M1,51.32,29.05,-37,0.6
YB.M2,52.23,29.71,8,0.6
YB.M3,53.25,30.25,16,1.7
YB.M4,53.28,30.71,-1,1
YB.M5,52.85,31.05,-27,1.4
YB.M6,53.81,31.58,-12,1.7
YB.M7,55.2,32.6,-17,1.1
YB.M8,55.48,32.97,-46,0.9
ZH.E3,48.16,33.53,50,1
ZH.E5,49.01,33.44,39,0.9
ZH.G1,49.39,34.02,-23,0.9
ZH.V1,48.72,33.78,33,0.4
ZH.V2,48.69,33.77,89,0.5
ZH.Y6,49.25,33.98,39,0.7
ZH.Y7,49.07,33.97,53,0.8
ZH.Y8,48.94,33.91,66,1
ZH.Z4,50.32,34.51,71,1.4
ZH.Z5,50.82,34.75,-76,0.9
ZH.Z6,50.88,34.94,-58,0.8
ZH.Z7,50.98,35.09,-31,1
ZH.Z8,50.9,35.24,-57,0.6
ZJ.K2,51.541,35.963,-60,0.92
ZJ.T6,52.293,35.976,-85,0.72
