Date,Event Latitude,Event Longitude,Event Depth,Mw,Fast Axis Orientation,Delay Time,Is Null?,Station Name,Station Latitude,Station Longitude,Bidirectional Circular Average at Stations (Sadeghi-Bagherabadi et al. 2018),Average Delay Time at Stations (Sadeghi-Bagherabadi et al. 2018),The Two Best Recorded Earthquakes
15-Apr-14,-53.527,8.704,12,6.9,27.47032174,0.58,Yes,M08,34.1152,46.6211,141,1.39,
12-Oct-13,10.905,-62.315,63,6,-76.14782503,2.12,Yes,M08,34.1152,46.6211,141,1.39,‡
16-Oct-13,-6.446,154.931,35,6.8,-38.92843068,1.16,No,M09,34.1731,46.73576,,,
16-Oct-13,-6.446,154.931,35,6.8,-38.92843068,1.12,No,M09,34.1731,46.73576,,,
12-Oct-13,10.905,-62.315,63,6,13.93045297,3.34,Yes,M09,34.1731,46.73576,,,‡
16-Oct-13,-6.446,154.931,35,6.8,-40.93151587,0.92,No,M10,34.236,46.7666,117,1.37,
1-Jan-14,-13.863,167.249,187,6.5,-81.39365587,1.6,No,M10,34.236,46.7666,117,1.37,†
1-May-14,-21.454,170.355,106,6.6,-57.06160923,1.48,No,M10,34.236,46.7666,117,1.37,
24-Aug-14,-14.5976,-73.5701,101,6.8,-71.43897357,1.48,No,M10,34.236,46.7666,117,1.37,
13-Jan-14,19.043,-66.81,20,6.4,-58.88788816,1.86,Yes,M10,34.236,46.7666,117,1.37,
18-Feb-14,14.668,-58.927,15,6.5,14.94913542,1.54,Yes,M10,34.236,46.7666,117,1.37,
12-Oct-13,10.905,-62.315,63,6,-66.04131279,2.68,Yes,M10,34.236,46.7666,117,1.37,‡
15-Mar-14,-5.58,-80.957,29,6.3,14.42209269,3.5,Yes,M10,34.236,46.7666,117,1.37,
23-Mar-14,-19.702,-70.87,21,6.2,-88.2671996,2.76,Yes,M10,34.236,46.7666,117,1.37,
15-Apr-14,-53.527,8.704,12,6.9,-64.45230303,2.22,Yes,M10,34.236,46.7666,117,1.37,
20-Apr-14,-7.165,155.335,20,6.2,-36.53820157,1.46,No,M11,34.3224,46.8167,156,1.33,
1-Jan-14,-13.863,167.249,187,6.5,-23.41832113,1.26,No,M11,34.3224,46.8167,156,1.33,†
7-Feb-14,-15.069,167.372,122,6.5,-42.26923122,1.14,No,M11,34.3224,46.8167,156,1.33,
29-Jul-14,17.8419,-95.5243,95.1,6.3,27.37547114,1.44,No,M11,34.3224,46.8167,156,1.33,
13-Jan-14,19.043,-66.81,20,6.4,-30.84724353,0.08,Yes,M11,34.3224,46.8167,156,1.33,
